Observation GUID	Påträffad	Taxon ID	Vetenskapligt namn	Svenskt namn	Taxonkategori	Organismgrupp	Rödlistekategori	Observationens skyddsklass	Startdatum	Slutdatum	Starttid	Sluttid	WGS84 decimal (lat)	WGS84 decimal (lon)	SWEREF99TM X (öst)	SWEREF99TM Y (nord)	Geodetiskt datum	Koordinatnoggrannhet (m)	Lokal	Församling	Kommun	Län	Landskap	Observatör	Antal individer	Organismkvantitet	Organismkvantitetsenhet	Stadium/ålder	Kön	Aktivitet (Artportalen)	Verifieringsstatus	Osäker artbestämning	Aldrig funnen	Ej återfunnen	Projekt1 Namn	Dataset namn	Diffuserad	Skyddad
urn:lsid:artportalen.se:sighting:54673184	True	201041	Pieris napi	rapsfjäril	species	Fjärilar	LC	1	2015-08-02	2015-08-02			57.2395	12.72405	362645	6346341	EPSG:4326	50	Bösteshult Fbg Halland, Hl	Fagered	Falkenberg	Halland	Halland	Eva Svensson	2	2				friflygande	Ovaliderad	False	False	False		Artportalen	False	False
urn:lsid:artportalen.se:sighting:54463091	True	201041	Pieris napi	rapsfjäril	species	Fjärilar	LC	1	2015-07-19	2015-07-19			55.94748	14.26705	454226	6200477	EPSG:4326	400	Horna Fure kraftledningsgata, Åhus, Sk	Åhus	Kristianstad	Skåne	Skåne	Sven Birkedal	2	2	ex.	imago/adult		friflygande	Ovaliderad	False	False	False		Artportalen	False	False
urn:lsid:artportalen.se:sighting:54474388	True	201041	Pieris napi	rapsfjäril	species	Fjärilar	LC	1	2015-07-16	2015-07-16	12:00	13:45	55.71777	13.43721	401827	6175775	EPSG:4326	150	Svarta hål, Sk	Revinge	Lund	Skåne	Skåne	Per Anders Bertilsson	2	2		imago/adult		friflygande	Ovaliderad	False	False	False		Artportalen	False	False
urn:lsid:artportalen.se:sighting:54201552	True	201041	Pieris napi	rapsfjäril	species	Fjärilar	LC	1	2015-06-19	2015-06-19			62.67782	17.87124	647000	6952968	EPSG:4326	1000	Ulvvik, Ång	Säbrå	Härnösand	Västernorrland	Ångermanland	Dan Tjell	1	1					Ovaliderad	False	False	False		Artportalen	False	False
urn:lsid:artportalen.se:sighting:54401625	True	201041	Pieris napi	rapsfjäril	species	Fjärilar	LC	1	2015-06-29	2015-06-29			68.38543	18.72431	653022	7590463	EPSG:4326	100	Abisko Ö Tunnelmynningen, Abisko 7 km nv, T lm	Jukkasjärvi	Kiruna	Norrbotten	Torne lappmark	Mats Hjelte, sven-ingmar deurell, Dag Holmberg, Lars Johansson	3	3					Ovaliderad	False	False	False		Artportalen	False	False
urn:lsid:artportalen.se:sighting:53931475	True	201041	Pieris napi	rapsfjäril	species	Fjärilar	LC	1	2015-06-14	2015-06-14	11:00	12:20	58.35079	12.03204	326320	6471596	EPSG:4326	250	Älje, Porsen, Boh	Uddevalla	Uddevalla	Västra Götaland	Bohuslän	Thomas Liebig, Magnus Larsson, Christer Lind	4	4		imago/adult		friflygande	Ovaliderad	False	False	False		Artportalen	False	False
urn:lsid:artportalen.se:sighting:54052286	True	201041	Pieris napi	rapsfjäril	species	Fjärilar	LC	1	2015-05-30	2015-05-30			59.54777	18.41679	693120	6606015	EPSG:4326	1000	Ytterby-Hemsjön, Upl	Österåker	Österåker	Stockholm	Uppland	Anders Björkerling	1	1	ex.	imago/adult	hane	friflygande	Ovaliderad	False	False	False		Artportalen	False	False
urn:lsid:artportalen.se:sighting:54057723	True	201041	Pieris napi	rapsfjäril	species	Fjärilar	LC	1	2015-06-20	2015-06-20			65.41853	21.51347	801913	7270728	EPSG:4326	150	Gränsvägen Norrfjärden, Nb	Norrfjärden	Piteå	Norrbotten	Norrbotten	Tommy Bystedt	6	6	ex.	imago/adult			Ovaliderad	False	False	False		Artportalen	False	False
urn:lsid:artportalen.se:sighting:54888856	True	201041	Pieris napi	rapsfjäril	species	Fjärilar	LC	1	2015-08-20	2015-08-20			58.55487	15.69387	540377	6490697	EPSG:4326	100	Stensjön norr Roxen, Ög	Stjärnorp	Linköping	Östergötland	Östergötland	Anders Sandh	1	1		imago/adult		friflygande	Ovaliderad	False	False	False		Artportalen	False	False
urn:lsid:artportalen.se:sighting:54858735	True	201041	Pieris napi	rapsfjäril	species	Fjärilar	LC	1	2015-08-15	2015-08-15			59.06609	15.34879	520000	6547463	EPSG:4326	50	Svalstigen 4, trädgården, Nrk	Sköllersta	Hallsberg	Örebro	Närke	Arne Holmer	10	10	ex.	imago/adult		födosökande	Ovaliderad	False	False	False		Artportalen	False	False
