Id,Artnamn,Vetenskapligt namn,Antal,Ålder-Stadium,Kön,Aktivitet,Ost,Nord,Startdatum,Slutdatum,Publik kommentar,Biotop-beskrivning
125904575,Rovfjäril,Pieris rapae,1, , ,födosökande,1249670,6470260,2025-06-12,2025-06-12,,
126619513,Rovfjäril,Pieris rapae,1, , ,födosökande,1249670,6470260,2025-07-12,2025-07-12,,
126823573,Rovfjäril,Pieris rapae,6, , ,födosökande,1249670,6470260,2025-07-21,2025-07-21,,
126917225,Rovfjäril,Pieris rapae,2, , ,födosökande,1249670,6470260,2025-07-25,2025-07-25,,
126892158,Rovfjäril,Pieris rapae,3, , ,födosökande,1249670,6470260,2025-07-24,2025-07-24,,
128347413,Rovfjäril,Pieris rapae,19, , ,födosökande,1392281,6141495,2025-09-09,2025-09-09,,
126537150,Rovfjäril,Pieris rapae,1, , ,födosökande,1267658,6444461,2025-07-09,2025-07-09,,
126762420,Rovfjäril,Pieris rapae,1, , , ,1681752,6420925,2025-07-19,2025-07-19,,
127314943,Rovfjäril,Pieris rapae,2, , ,friflygande,1628957,6568153,2025-08-08,2025-08-08,,
126538661,Rovfjäril,Pieris rapae,1, , ,friflygande,1293379,6465513,2025-07-08,2025-07-08,,
126765038,Rovfjäril,Pieris rapae,3, , ,friflygande,1293379,6465513,2025-07-19,2025-07-19,,
127109600,Rovfjäril,Pieris rapae,2,imago/adult, ,friflygande,1551195,6619531,2025-08-02,2025-08-02,,
130016339,Rovfjäril,Pieris rapae,1,imago/adult, , ,1435981,6283603,2025-12-07,2025-12-07,Inomhus. Måste ha kommit in och kläckts. ,
128415222,Rovfjäril,Pieris rapae,noterad, , , ,1668866,6420392,2025-09-13,2025-09-13,,
126708819,Rovfjäril,Pieris rapae,1, , ,födosökande,1645458,6568809,2025-07-16,2025-07-16,,
126817637,Rovfjäril,Pieris rapae,noterad,imago/adult, ,friflygande,1524830,6497810,2025-07-21,2025-07-21,,
126989414,Rovfjäril,Pieris rapae,1,imago/adult, ,friflygande,1509007,6478254,2025-07-27,2025-07-27,,
126818360,Rovfjäril,Pieris rapae,noterad,imago/adult, ,friflygande,1523285,6496878,2025-07-21,2025-07-21,,
126817973,Rovfjäril,Pieris rapae,noterad,imago/adult, ,friflygande,1524534,6497387,2025-07-21,2025-07-21,,
126269850,Rovfjäril,Pieris rapae,1, , ,friflygande,1714955,7378465,2025-06-27,2025-06-27,,
126817314,Rovfjäril,Pieris rapae,1,imago/adult, ,födosökande,1547132,6452432,2025-07-21,2025-07-21,,
126371261,Rovfjäril,Pieris rapae,2,imago/adult, , ,1258810,6429021,2025-07-02,2025-07-02,,
126675445,Rovfjäril,Pieris rapae,noterad,imago/adult, ,födosökande,1327910,6405710,2025-07-15,2025-07-15,,
127618830,Rovfjäril,Pieris rapae,2, , , ,1334577,6413204,2025-08-16,2025-08-16,,
126333966,Rovfjäril,Pieris rapae,2,imago/adult,,friflygande,1347858,6154394,2025-07-01,2025-07-01,,
127689235,Rovfjäril,Pieris rapae,1,imago/adult, ,födosökande,1409050,6410660,2025-08-17,2025-08-17,"Soligt 100 +20 C, Vind 3 m/s N",på verbena
127689161,Rovfjäril,Pieris rapae,4,imago/adult, ,friflygande,1409050,6410660,2025-07-28,2025-07-28,"Soligt 100 +24 C, Vind 1 m/s SV",
