Observation GUID	Påträffad	Taxon ID	Vetenskapligt namn	Svenskt namn	Taxonkategori	Organismgrupp	Rödlistekategori	Observationens skyddsklass	Startdatum	Slutdatum	Starttid	Sluttid	WGS84 decimal (lat)	WGS84 decimal (lon)	SWEREF99TM X (öst)	SWEREF99TM Y (nord)	Geodetiskt datum	Koordinatnoggrannhet (m)	Lokal	Församling	Kommun	Län	Landskap	Observatör	Antal individer	Organismkvantitet	Organismkvantitetsenhet	Stadium/ålder	Kön	Aktivitet (Artportalen)	Verifieringsstatus	Osäker artbestämning	Aldrig funnen	Ej återfunnen	Projekt1 Namn	Dataset namn	Diffuserad	Skyddad
urn:lsid:artportalen.se:sighting:95044328	True	201040	Pieris rapae	rovfjäril	species	Fjärilar	LC	1	2021-07-23	2021-07-23			59.74838	17.77771	656079	6626658	EPSG:4326	100	Åsgatan, Knivsta, Upl	Knivsta	Knivsta	Uppsala	Uppland	Marcus Arknell	2	2					Ovaliderad	False	False	False		Artportalen	False	False
urn:lsid:artportalen.se:sighting:95017711	True	201040	Pieris rapae	rovfjäril	species	Fjärilar	LC	1	2021-07-20	2021-07-20	12:00	12:15	55.6212	14.14968	446450	6164249	EPSG:4326	100	Klangstorp, Snapparp,, Sk	Sankt Olof	Simrishamn	Skåne	Skåne	Krister Wadén	4	4					Ovaliderad	False	False	False		Artportalen	False	False
urn:lsid:artportalen.se:sighting:95003825	True	201040	Pieris rapae	rovfjäril	species	Fjärilar	LC	1	2021-07-03	2021-07-03			56.35562	16.53519	594861	6246719	EPSG:4326	25	Segerstad Vårdkastäkten 124,Mörbylånga, Öl	Segerstad	Mörbylånga	Kalmar	Öland	Per Johansson	2	2					Ovaliderad	False	False	False		Artportalen	False	False
urn:lsid:artportalen.se:sighting:93823441	True	201040	Pieris rapae	rovfjäril	species	Fjärilar	LC	1	2021-05-28	2021-05-28	12:19	12:19	59.0264	15.74056	542514	6543228	EPSG:4326	100	Sjögetorp 1, Srm	Västra Vingåker	Vingåker	Södermanland	Södermanland	Ronny Nilsson	1	1		imago/adult		vilande	Ovaliderad	False	False	False		Artportalen	False	False
urn:lsid:artportalen.se:sighting:87184741	True	201040	Pieris rapae	rovfjäril	species	Fjärilar	LC	1	2020-07-30	2020-07-30			57.05344	16.20474	573078	6323979	EPSG:4326	50	Frugården, Värlebo  Högsby, Sm	Långemåla	Högsby	Kalmar	Småland	Jan Wahlström	1	1					Ovaliderad	False	False	False		Artportalen	False	False
urn:lsid:artportalen.se:sighting:87968887	True	201040	Pieris rapae	rovfjäril	species	Fjärilar	LC	1	2020-05-02	2020-05-02			59.22567	18.18266	681609	6569516	EPSG:4326	25	Granvägen 39b, Trollbäcken, Srm	Tyresö	Tyresö	Stockholm	Södermanland	Malin Löfgren				imago/adult			Ovaliderad	False	False	False		Artportalen	False	False
urn:lsid:artportalen.se:sighting:87130362	True	201040	Pieris rapae	rovfjäril	species	Fjärilar	LC	1	2020-07-25	2020-07-25			56.28467	13.0831	381336	6239415	EPSG:4326	500	Ramnasjö - Röglaån, Tåssjö kyrka, Sk	Tåssjö	Ängelholm	Skåne	Skåne	Karl-Erik Söderqvist	1	1	ex.			födosökande	Ovaliderad	False	False	False		Artportalen	False	False
urn:lsid:artportalen.se:sighting:87124295	True	201040	Pieris rapae	rovfjäril	species	Fjärilar	LC	1	2020-07-27	2020-07-27	16:05	16:15	57.6293	11.91701	315926	6391624	EPSG:4326	220	Hults kolonistugeområde, Vg	Askim	Göteborg	Västra Götaland	Västergötland	Uno Unger	1	1		imago/adult		friflygande	Ovaliderad	False	False	False		Artportalen	False	False
urn:lsid:artportalen.se:sighting:87204093	True	201040	Pieris rapae	rovfjäril	species	Fjärilar	LC	1	2020-07-31	2020-07-31			62.47658	17.30498	618820	6929393	EPSG:4326	10	Skyttberg, Märlo, Timrå, Mpd	Timrå	Timrå	Västernorrland	Medelpad	Lars Olausson	1	1		imago/adult		friflygande	Ovaliderad	False	False	False		Artportalen	False	False
urn:lsid:artportalen.se:sighting:87224851	True	201040	Pieris rapae	rovfjäril	species	Fjärilar	LC	1	2020-08-01	2020-08-01	12:30	13:30	59.73702	18.48072	695626	6627259	EPSG:4326	500	Finsta_Salmunge, Upl	Skederid	Norrtälje	Stockholm	Uppland	Thomas Jalde	1	1				födosökande	Ovaliderad	False	False	False		Artportalen	False	False
urn:lsid:artportalen.se:sighting:87443908	True	201040	Pieris rapae	rovfjäril	species	Fjärilar	LC	1	2020-08-13	2020-08-13	15:47	15:47	58.28431	11.53622	296939	6465587	EPSG:4326	100	Torpet, Skår, Boh	Bokenäs	Uddevalla	Västra Götaland	Bohuslän	Magnus Larsson	1	1				födosökande	Ovaliderad	False	False	False		Artportalen	False	False
urn:lsid:artportalen.se:sighting:87709025	True	201040	Pieris rapae	rovfjäril	species	Fjärilar	LC	1	2020-07-22	2020-07-22			57.87042	16.76258	604554	6415645	EPSG:4326	175	Stora Hallmare (SHB), Sm	Loftahammar	Västervik	Kalmar	Småland	Roine Strandberg							Ovaliderad	False	False	False		Artportalen	False	False
urn:lsid:artportalen.se:sighting:87399427	True	201040	Pieris rapae	rovfjäril	species	Fjärilar	LC	1	2020-08-10	2020-08-10			59.21485	18.06321	674851	6567993	EPSG:4326	50	Stora Orlångsjö, Ågesta, Srm	Huddinge	Huddinge	Stockholm	Södermanland	Magnus Nilsson	1	1		imago/adult		friflygande	Ovaliderad	False	False	False		Artportalen	False	False
urn:lsid:artportalen.se:sighting:87375020	True	201040	Pieris rapae	rovfjäril	species	Fjärilar	LC	1	2020-08-09	2020-08-09			57.78102	16.2691	575470	6405038	EPSG:4326	100	Hummelstad Brotorp, Sm	Hallingeberg	Västervik	Kalmar	Småland	Magnus Kasselstrand, Ingvor Kasselstrand				imago/adult		friflygande	Ovaliderad	False	False	False		Artportalen	False	False
urn:lsid:artportalen.se:sighting:87663625	True	201040	Pieris rapae	rovfjäril	species	Fjärilar	LC	1	2020-08-26	2020-08-26			59.2809	18.01328	671670	6575213	EPSG:4326	25	Solberga Ängsväg, Srm	Stockholm	Stockholm	Stockholm	Södermanland	Lars Ekqvist	1	1		imago/adult		födosökande	Ovaliderad	False	False	False		Artportalen	False	False
urn:lsid:artportalen.se:sighting:87946319	True	201040	Pieris rapae	rovfjäril	species	Fjärilar	LC	1	2020-09-10	2020-09-10			55.52431	12.91743	368534	6155108	EPSG:4326	25	Ridhuset, Klagshamns udde, Sk	Västra Klagstorp	Malmö	Skåne	Skåne	Bertil Johansson	5	5	ex.	imago/adult		födosökande	Ovaliderad	False	False	False		Artportalen	False	False
urn:lsid:artportalen.se:sighting:87199712	True	201040	Pieris rapae	rovfjäril	species	Fjärilar	LC	1	2020-07-31	2020-07-31			56.0935	13.24413	390761	6217875	EPSG:4326	250	Horsakärr, Herrevadskoster, Sk	Riseberga	Klippan	Skåne	Skåne	Lars Bergendorf				imago/adult		friflygande	Ovaliderad	False	False	False		Artportalen	False	False
urn:lsid:artportalen.se:sighting:87231716	True	201040	Pieris rapae	rovfjäril	species	Fjärilar	LC	1	2020-07-31	2020-07-31	15:17	16:28	55.67638	13.41092	400071	6171207	EPSG:4326	200	Kaninlandet, Kaninlandet, Torna Hällestad, Sk	Hällestad	Lund	Skåne	Skåne	Åke Lindström	4	4	ex.	imago/adult		friflygande	Ovaliderad	False	False	False		Artportalen	False	False
urn:lsid:artportalen.se:sighting:87229445	True	201040	Pieris rapae	rovfjäril	species	Fjärilar	LC	1	2020-08-01	2020-08-01	10:10	14:15	57.63024	11.90652	315304	6391757	EPSG:4326	100	Mudderfältet, Välen, Välen, Göteborg, Vg	Göteborg	Göteborg	Västra Götaland	Västergötland	Hans Börjesson	1	1		imago/adult		friflygande	Ovaliderad	False	False	False		Artportalen	False	False
urn:lsid:artportalen.se:sighting:87276017	True	201040	Pieris rapae	rovfjäril	species	Fjärilar	LC	1	2020-08-01	2020-08-01			57.85203	11.6918	303696	6417037	EPSG:4326	100	Tofta Äggdal, Boh	Lycke	Kungälv	Västra Götaland	Bohuslän	Göran Persson	2	2		imago/adult		födosökande	Ovaliderad	False	False	False		Artportalen	False	False
urn:lsid:artportalen.se:sighting:87364889	True	201040	Pieris rapae	rovfjäril	species	Fjärilar	LC	1	2020-08-08	2020-08-08			55.47314	14.2323	451471	6147711	EPSG:4326	150	Klockaregården, Östra Hoby, Sk	Östra Hoby	Simrishamn	Skåne	Skåne	Benny Lorentzon	6	6				friflygande	Ovaliderad	False	False	False		Artportalen	False	False
urn:lsid:artportalen.se:sighting:90966089	True	201040	Pieris rapae	rovfjäril	species	Fjärilar	LC	1	2020-08-07	2020-08-07			56.63748	16.54287	594631	6278097	EPSG:4326	50	Degerörsbacken, Öl	Torslunda	Mörbylånga	Kalmar	Öland	Frida Nettelbladt	1	1	ex.	imago/adult			Ovaliderad	False	False	False	Uppföljning av dagfjärilar i skyddade områden i Kalmar län	Artportalen	False	False
urn:lsid:artportalen.se:sighting:89315252	True	201040	Pieris rapae	rovfjäril	species	Fjärilar	LC	1	2020-08-12	2020-08-12			55.57399	13.52099	406749	6159661	EPSG:4326	200	Kläggeröd, Kläggeröd, Sk	Slimminge	Skurup	Skåne	Skåne	Richard Bergendahl	2	2					Ovaliderad	False	False	False		Artportalen	False	False
urn:lsid:artportalen.se:sighting:89315228	True	201040	Pieris rapae	rovfjäril	species	Fjärilar	LC	1	2020-09-20	2020-09-20			55.57399	13.52099	406749	6159661	EPSG:4326	200	Kläggeröd, Kläggeröd, Sk	Slimminge	Skurup	Skåne	Skåne	Richard Bergendahl	3	3					Ovaliderad	False	False	False		Artportalen	False	False
urn:lsid:artportalen.se:sighting:96743426	True	201040	Pieris rapae	rovfjäril	species	Fjärilar	LC	1	2021-08-05	2021-08-05			56.01911	14.61332	475895	6208274	EPSG:4326	270	Blåklintstigen 5762, Sandviken, Bl	Mjällby	Sölvesborg	Blekinge	Blekinge	Mats-Åke Persson	1	1	ex.	imago/adult		friflygande	Ovaliderad	False	False	False		Artportalen	False	False
urn:lsid:artportalen.se:sighting:95664562	True	201040	Pieris rapae	rovfjäril	species	Fjärilar	LC	1	2021-08-23	2021-08-23	15:40	15:40	58.06102	11.86487	315041	6439800	EPSG:4326	10	Mandelblomsvägen, Boh	Norum	Stenungsund	Västra Götaland	Bohuslän	Magnus Larsson	2	2					Ovaliderad	False	False	False		Artportalen	False	False
